MutationOpt,FaultModel,DataItem,Span,Type,FaultClass,Min,Max,Threshold,Delta,State,Value
0,Read,1,1,INT,INV,0,3,NA,0,NA,1
1,Read,1,1,INT,VAT,NA,NA,3,1,NA,NA
2,Read,1,1,INT,FVAT,NA,NA,3,1,NA,NA
3,Read,2,1,INT,INV,0,31,NA,0,NA,1
4,Read,2,1,INT,VAT,NA,NA,31,1,NA,NA
5,Read,2,1,INT,FVAT,NA,NA,31,1,NA,NA
6,Read,3,1,INT,INV,0,31,NA,0,NA,1
7,Read,3,1,INT,VAT,NA,NA,31,1,NA,NA
8,Read,3,1,INT,FVAT,NA,NA,31,1,NA,NA
9,Read,4,1,INT,INV,8,30,NA,1,NA,1
10,Read,4,1,INT,VOR,8,30,NA,1,NA,NA
11,Read,4,1,INT,VOR,8,30,NA,1,NA,NA
12,Read,4,1,INT,FVOR,8,30,NA,1,NA,NA
13,Read,4,1,INT,SS,NA,NA,NA,1,NA,NA
14,Read,4,1,INT,SS,NA,NA,NA,-1,NA,NA
15,Read,5,1,INT,INV,8,30,NA,1,NA,0
16,Read,5,1,INT,VOR,8,30,NA,1,NA,NA
17,Read,5,1,INT,VOR,8,30,NA,1,NA,NA
18,Read,5,1,INT,FVOR,8,30,NA,1,NA,NA
19,Read,5,1,INT,SS,NA,NA,NA,1,NA,NA
20,Read,5,1,INT,SS,NA,NA,NA,-1,NA,NA
21,Read,6,1,BIN,BF,0,0,NA,NA,1,1
22,Read,6,1,BIN,BF,0,0,NA,NA,0,1
23,Read,6,1,BIN,BF,1,1,NA,NA,1,1
24,Read,6,1,BIN,BF,1,1,NA,NA,0,1
25,Read,6,1,BIN,BF,2,2,NA,NA,1,1
26,Read,6,1,BIN,BF,2,2,NA,NA,0,1
27,Read,6,1,BIN,BF,3,3,NA,NA,1,1
28,Read,6,1,BIN,BF,3,3,NA,NA,0,1
29,Send,1,1,INT,INV,0,3,NA,0,NA,1
30,Send,1,1,INT,VAT,NA,NA,3,1,NA,NA
31,Send,1,1,INT,FVAT,NA,NA,3,1,NA,NA
32,Send,2,1,INT,INV,0,31,NA,0,NA,1
33,Send,2,1,INT,VAT,NA,NA,31,1,NA,NA
34,Send,2,1,INT,FVAT,NA,NA,31,1,NA,NA
35,Send,3,1,INT,INV,0,31,NA,0,NA,1
36,Send,3,1,INT,VAT,NA,NA,31,1,NA,NA
37,Send,3,1,INT,FVAT,NA,NA,31,1,NA,NA
38,Send,4,1,INT,INV,8,30,NA,1,NA,1
39,Send,4,1,INT,VOR,8,30,NA,1,NA,NA
40,Send,4,1,INT,VOR,8,30,NA,1,NA,NA
41,Send,4,1,INT,FVOR,8,30,NA,1,NA,NA
42,Send,4,1,INT,SS,NA,NA,NA,1,NA,NA
43,Send,4,1,INT,SS,NA,NA,NA,-1,NA,NA
44,Send,5,1,INT,INV,8,30,NA,1,NA,0
45,Send,5,1,INT,VOR,8,30,NA,1,NA,NA
46,Send,5,1,INT,VOR,8,30,NA,1,NA,NA
47,Send,5,1,INT,FVOR,8,30,NA,1,NA,NA
48,Send,5,1,INT,SS,NA,NA,NA,1,NA,NA
49,Send,5,1,INT,SS,NA,NA,NA,-1,NA,NA
50,Send,6,1,BIN,BF,0,0,NA,NA,1,1
51,Send,6,1,BIN,BF,0,0,NA,NA,0,1
52,Send,6,1,BIN,BF,1,1,NA,NA,1,1
53,Send,6,1,BIN,BF,1,1,NA,NA,0,1
54,Send,6,1,BIN,BF,2,2,NA,NA,1,1
55,Send,6,1,BIN,BF,2,2,NA,NA,0,1
56,Send,6,1,BIN,BF,3,3,NA,NA,1,1
57,Send,6,1,BIN,BF,3,3,NA,NA,0,1
